task_id,session_id,name,origin,prompts,first_timestamp,last_timestamp
demo-062-1a26be3b:t01,demo-062-1a26be3b,Fix the failing Windows CI,todo,14,2026-04-25T16:10:00.000Z,2026-04-25T21:17:00.000Z
demo-063-2a07a210:i01,demo-063-2a07a210,Deploy to staging and run the smoke script,inferred,1,2026-05-22T05:48:03.000Z,2026-05-22T05:48:03.000Z
demo-064-9e8f5bad:i01,demo-064-9e8f5bad,Read PLAN.md and outline the steps to add the export pipeline,inferred,4,2026-01-13T10:31:51.000Z,2026-01-13T11:03:51.000Z
demo-064-9e8f5bad:i02,demo-064-9e8f5bad,Add the retry decorator to the API client,inferred,8,2026-01-13T11:34:51.000Z,2026-01-13T13:44:51.000Z
demo-065-b1174f4c:i01,demo-065-b1174f4c,Design the data model for the new billing module,inferred,1,2026-02-01T09:31:54.000Z,2026-02-01T09:31:54.000Z
demo-065-b1174f4c:i02,demo-065-b1174f4c,Design the data model for the new billing module,inferred,5,2026-02-01T10:09:54.000Z,2026-02-01T11:17:54.000Z
demo-066-48dadfab:i01,demo-066-48dadfab,Design the data model for the new billing module,inferred,1,2026-05-22T06:36:11.000Z,2026-05-22T06:36:11.000Z
demo-066-48dadfab:i02,demo-066-48dadfab,Add the retry decorator to the API client,inferred,5,2026-05-22T07:15:11.000Z,2026-05-22T07:53:11.000Z
demo-066-48dadfab:i03,demo-066-48dadfab,Update the README and the changelog for the release,inferred,3,2026-05-22T08:31:11.000Z,2026-05-22T09:18:11.000Z
demo-066-48dadfab:i04,demo-066-48dadfab,Read PLAN.md and outline the steps to add the export pipeline,inferred,4,2026-05-22T09:49:11.000Z,2026-05-22T10:54:11.000Z
demo-067-2a53fc32:i01,demo-067-2a53fc32,Does uv lock pin transitive dependencies?,inferred,1,2026-02-10T07:22:32.000Z,2026-02-10T07:22:32.000Z
demo-067-2a53fc32:i02,demo-067-2a53fc32,Implement the CSV export endpoint with pagination,inferred,4,2026-02-10T07:59:32.000Z,2026-02-10T08:57:32.000Z
demo-068-8f78e097:i01,demo-068-8f78e097,Read PLAN.md and outline the steps to add the export pipeline,inferred,3,2026-03-01T05:48:49.000Z,2026-03-01T06:19:49.000Z
demo-068-8f78e097:i02,demo-068-8f78e097,Commit the changes and push the branch,inferred,2,2026-03-01T06:58:49.000Z,2026-03-01T07:22:49.000Z
demo-068-8f78e097:i03,demo-068-8f78e097,Add the retry decorator to the API client,inferred,2,2026-03-01T07:57:49.000Z,2026-03-01T08:21:49.000Z
demo-068-8f78e097:i04,demo-068-8f78e097,Why does the nightly job double-count rows?,inferred,2,2026-03-01T08:59:49.000Z,2026-03-01T09:09:49.000Z
demo-068-8f78e097:i05,demo-068-8f78e097,Wire the new settings page into the router,inferred,1,2026-03-01T09:43:49.000Z,2026-03-01T09:43:49.000Z
demo-068-8f78e097:i06,demo-068-8f78e097,Met à jour le fichier de status avant de fermer,inferred,1,2026-03-01T10:21:49.000Z,2026-03-01T10:21:49.000Z
demo-068-8f78e097:i07,demo-068-8f78e097,Same as yesterday but for the staging tenant,inferred,2,2026-03-01T10:58:49.000Z,2026-03-01T11:07:49.000Z
demo-068-8f78e097:i08,demo-068-8f78e097,Relance les tests d'intégration et regarde les régressions,inferred,4,2026-03-01T11:40:49.000Z,2026-03-01T12:37:49.000Z
demo-068-8f78e097:i09,demo-068-8f78e097,Split the god-object service into focused classes,inferred,1,2026-03-01T13:17:49.000Z,2026-03-01T13:17:49.000Z
demo-069-9f65b230:i01,demo-069-9f65b230,Add the retry decorator to the API client,inferred,8,2026-01-17T04:42:03.000Z,2026-01-17T05:59:03.000Z
demo-070-e2fb3299:t01,demo-070-e2fb3299,Refactor the streaming parser,todo,1,2025-12-18T13:59:50.000Z,2025-12-18T13:59:50.000Z
demo-070-e2fb3299:t02,demo-070-e2fb3299,Audit the error handling,todo,11,2025-12-18T14:05:50.000Z,2025-12-18T17:39:50.000Z
demo-071-f56a0338:i01,demo-071-f56a0338,Implement the CSV export endpoint with pagination,inferred,2,2026-05-21T12:28:52.000Z,2026-05-21T12:41:52.000Z
demo-071-f56a0338:i02,demo-071-f56a0338,Wire the new settings page into the router,inferred,3,2026-05-21T13:16:52.000Z,2026-05-21T14:02:52.000Z
demo-071-f56a0338:i03,demo-071-f56a0338,What's the difference between cache_read and cache_write billing?,inferred,3,2026-05-21T14:42:52.000Z,2026-05-21T15:34:52.000Z
demo-071-f56a0338:i04,demo-071-f56a0338,Vérifie que les totaux collent avec la facture,inferred,1,2026-05-21T16:13:52.000Z,2026-05-21T16:13:52.000Z
demo-071-f56a0338:i05,demo-071-f56a0338,Audit the error handling in the export pipeline,inferred,3,2026-05-21T16:45:52.000Z,2026-05-21T17:08:52.000Z
demo-071-f56a0338:i06,demo-071-f56a0338,Tests fail on Windows only — investigate the path handling,inferred,3,2026-05-21T17:43:52.000Z,2026-05-21T18:18:52.000Z
demo-071-f56a0338:i07,demo-071-f56a0338,How should we structure the multi-tenant migration?,inferred,4,2026-05-21T18:53:52.000Z,2026-05-21T19:33:52.000Z
demo-071-f56a0338:i08,demo-071-f56a0338,Tests fail on Windows only — investigate the path handling,inferred,2,2026-05-21T20:08:52.000Z,2026-05-21T20:29:52.000Z
demo-072-fe57191e:t01,demo-072-fe57191e,Migrate the billing module,todo,9,2026-05-02T06:56:45.000Z,2026-05-02T10:11:45.000Z
demo-073-5c9d18a6:i01,demo-073-5c9d18a6,ok go ahead,inferred,2,2026-03-30T00:21:50.000Z,2026-03-30T00:31:50.000Z
demo-073-5c9d18a6:i02,demo-073-5c9d18a6,Implement the CSV export endpoint with pagination,inferred,2,2026-03-30T01:05:50.000Z,2026-03-30T01:08:50.000Z
demo-073-5c9d18a6:i03,demo-073-5c9d18a6,Read PLAN.md and outline the steps to add the export pipeline,inferred,3,2026-03-30T01:42:50.000Z,2026-03-30T02:11:50.000Z
demo-073-5c9d18a6:i04,demo-073-5c9d18a6,Vérifie que les totaux collent avec la facture,inferred,2,2026-03-30T02:48:50.000Z,2026-03-30T03:00:50.000Z
demo-073-5c9d18a6:i05,demo-073-5c9d18a6,Wire the new settings page into the router,inferred,3,2026-03-30T03:31:50.000Z,2026-03-30T04:00:50.000Z
demo-074-21a62751:i01,demo-074-21a62751,Commit the changes and push the branch,inferred,1,2026-04-22T13:18:05.000Z,2026-04-22T13:18:05.000Z
demo-074-21a62751:i02,demo-074-21a62751,Same as yesterday but for the staging tenant,inferred,1,2026-04-22T13:55:05.000Z,2026-04-22T13:55:05.000Z
demo-074-21a62751:i03,demo-074-21a62751,Design the data model for the new billing module,inferred,3,2026-04-22T14:29:05.000Z,2026-04-22T15:04:05.000Z
demo-075-125ca850:t01,demo-075-125ca850,Implement the retry decorator,todo,21,2026-04-02T10:44:20.000Z,2026-04-02T17:59:20.000Z
demo-076-61e5e38e:t01,demo-076-61e5e38e,Migrate the billing module,todo,10,2026-06-03T13:43:45.000Z,2026-06-03T17:13:45.000Z
demo-077-10383537:t01,demo-077-10383537,Fix the failing Windows CI,todo,3,2026-03-12T01:14:25.000Z,2026-03-12T01:57:25.000Z
demo-077-10383537:t02,demo-077-10383537,Implement the retry decorator,todo,1,2026-03-12T02:37:25.000Z,2026-03-12T02:37:25.000Z
demo-078-26379ada:t01,demo-078-26379ada,Wire the new settings page,todo,9,2026-04-19T19:37:16.000Z,2026-04-19T21:50:16.000Z
demo-079-9675b6d9:i01,demo-079-9675b6d9,Fais le merge de main et ouvre la PR,inferred,1,2026-03-09T05:44:00.000Z,2026-03-09T05:44:00.000Z
